grid rho1 rho2 rho3 rho4 rho5 rho6 rho7 rho8 rho9 rho10 rho11 rho12 rho13 rho14 rho15 rho16 rho17 rho18 rho19 rho20 rho21 rho22 rho23 rho24 
0.125 0.46959384899168216 0.8163422101794224 0.988630725462671 1.0267971782788514 0.9980828463660002 0.9368218993261023 0.8565381293270643 0.7692452645755283 0.681357636814063 0.5950744051492238 0.5135512947293462 0.43686662750372596 0.36643837131136525 0.3019158869066967 0.24409780918017865 0.19290378172276168 0.14796045890589116 0.10981337174999997 0.0778548064101308 0.05217863186798913 0.03254988528861025 0.01840227628268354 0.009069491169713673 0.0029714570616956593 
0.135 0.865561993368567 1.254804492031327 1.3672323235349666 1.3399151987026139 1.2539235139269589 1.1417788099933956 1.0240094251736112 0.9067340901146623 0.7934327795405701 0.6872263054930593 0.5880045671126501 0.49724876152852804 0.41435634219368017 0.34001337530375975 0.2735027030738923 0.21486276440005492 0.16421636908968332 0.12087031137762091 0.08509042919234502 0.05636653169587072 0.034461802620135845 0.019036372401644297 0.009119994143369503 0.002923073773697382 
0.145 1.4959987490641717 1.830271918670753 1.8176349644999141 1.690193504076189 1.5307985933931134 1.366846803220259 1.206007211437824 1.054529299106541 0.9146512570274511 0.7858346001228977 0.6690020129755035 0.5627907173118022 0.4674857009535741 0.3819388112114679 0.306331335705048 0.24006094431818503 0.18257110948817057 0.13398137853838382 0.09363965351153018 0.061461783432650505 0.037034002784194775 0.0199099221935832 0.009238854009535613 0.0028886766998637015 
0.155 2.4073227516268894 2.5250260905068744 2.3246456006095038 2.078130521483013 1.8337506700440063 1.604943611740626 1.3983210487192468 1.2117123328851473 1.0432583533484272 0.8921925866890001 0.7560080971336983 0.6343322154896994 0.5253276714812058 0.42875717137902253 0.34327296601484564 0.2685096700082511 0.20411053016192882 0.14929868188527026 0.10406505212126743 0.06788960666891629 0.04037908555364067 0.021180858461674473 0.0094594753224167 0.0028505342250906285 
0.165 3.58497923224564 3.2967388838645175 2.86251553699207 2.4762202088349117 2.140482442778345 1.8511176036070047 1.5973078626857848 1.3745265256086607 1.1782150684599118 1.0037851426406932 0.8492317299667259 0.7113593786139919 0.5891206133357585 0.4804617963371492 0.3849016348001871 0.3013260943205965 0.22900931034296537 0.16770799696676048 0.11672497683682184 0.07596584491874198 0.044910820947837576 0.023080263823064412 0.009872492467102867 0.0028436678381649205 
0.175 4.919903722820665 4.074668534488709 3.3963693051034896 2.872988732048032 2.4484210823252877 2.095064055482147 1.7969080434942213 1.5404390253044469 1.316886677144182 1.1210471606897499 0.9476848915352684 0.7944948181354254 0.6583487656156948 0.538120169086879 0.4318566688219357 0.33885432936999005 0.2583507686254837 0.1895890063243524 0.1323298055866451 0.0861580705087562 0.05085273756411518 0.025835411414319026 0.010633369521316494 0.0029122055891422916 
0.185 6.201161030156883 4.778530370651205 3.883702427814627 3.234507063667046 2.7329099313940173 2.3287353230482895 1.9912936939045838 1.7044651096079788 1.457177770010624 1.2409407581536727 1.0511259715688384 0.8828672311278756 0.7339914725129894 0.6016545449129882 0.48486347583556355 0.3821070409768715 0.2926141425970601 0.21591055745849974 0.15142173414560112 0.09901723125813992 0.058599664623103925 0.02970123496690638 0.011848759758911753 0.003033631038659723 
0.19499999999999998 7.1655595446642835 5.32397678887652 4.279883222432562 3.544067324578621 2.9863068093746525 2.5400705985560252 2.172924832261043 1.8626021121821532 1.595376296685078 1.362844342444724 1.1578130688406232 0.976640864973135 0.8152561802250404 0.6719618636688667 0.5443922736935124 0.4316848033332065 0.33286803525411324 0.24734216115137736 0.17488116649106225 0.11521430652909823 0.06859938093595752 0.03492612642588891 0.013732464329231642 0.0032917146857380786 
0.205 7.580453806193101 5.643211097740072 4.544041240714583 3.770156215371174 3.185531868717896 2.719829254214873 2.3347198125095847 2.0088396853667945 1.7283361750281734 1.4829286384858915 1.266805256598444 1.074255937890152 0.9026320878576944 0.7486493943220697 0.6111491373785973 0.48843047700292697 0.3798652308907722 0.2849839515324481 0.20355017227759592 0.1356043527981042 0.0815244667910768 0.041874815403131205 0.016442054465133638 0.003762740639898232 
0.215 7.343655169330054 5.686263996915468 4.647449300313815 3.9006824518264676 3.3233032371590023 2.856769139019719 2.468836860930485 2.1382921807112503 1.8513257700863408 1.5994656328848853 1.375323517557909 1.1751703581790685 0.9946917622655125 0.8322115193096523 0.6852279986459081 0.5530406973696153 0.43464254432277766 0.3298183711665282 0.23860359012783489 0.16120117067502 0.09826573082374265 0.051098326665251215 0.02021954855718905 0.004534724532720413 
0.22499999999999998 6.517050485801225 5.440977892134426 4.577527812931133 3.9164314857819593 3.3839082013822033 2.943366290011431 2.5686950328529994 2.24465601695419 1.9605150581335056 1.7077620600595482 1.4815936613415763 1.276797497271678 1.0911934545559163 0.9215702917233285 0.7670695411361301 0.6260002784500105 0.49811630763347975 0.3830922263550486 0.2812946523658171 0.19330612713039444 0.11999455533587347 0.0634361231666089 0.025437039378665982 0.005703892918756948 
0.235 5.310668624669448 4.930471756556218 4.340689944751797 3.819863604771439 3.3663147745463995 2.9725077875402484 2.62805992431998 2.3233132856979317 2.0506869471666094 1.805239360929993 1.5817060746955172 1.3777308103674506 1.1896743227595916 1.0165444222957236 0.8560114791035369 0.707838387653238 0.5710920833139299 0.44605381031200525 0.3331547268351666 0.23347299206644517 0.14823152735738732 0.0800966150462247 0.03271809638956957 0.0074118676079398815 
0.245 3.982109949230598 4.225251777988497 3.959287282406739 3.61221811453097 3.2662609876275277 2.941825247317725 2.642941009495992 2.369073636626549 2.118124985422919 1.8867144404496126 1.6731657457669677 1.4741852620141787 1.2889690202256037 1.114916000860721 0.9518817516761399 0.7982702768962745 0.6543645593490844 0.5199074508052333 0.39586402575694724 0.28360107322153993 0.18489227488674292 0.10278571653324214 0.04306059759556641 0.009914360351284679 
0.25500000000000006 2.7618868401722976 3.4177271171295813 3.4705163250209803 3.3143645964547073 3.092419701821991 2.8510291749864924 2.610891189981052 2.379097052725737 2.1582539064853994 1.9494062552773008 1.7512609479515966 1.563940235531399 1.3853116280685207 1.2155544694940168 1.0527290804557907 0.8972220464091626 0.7480153043421688 0.605855970247515 0.47116798789621184 0.3459118535850153 0.23237244287855202 0.13382765174077688 0.058032624469371574 0.013680701910062654 
0.265 1.7788694189000465 2.61280947052097 2.919287758580056 2.9455635306818104 2.8527679093219964 2.7048649603404797 2.532319747202699 2.3510019085247373 2.1686255301991855 1.9885831540002519 1.8132559722942814 1.6422483909371697 1.476598527865661 1.3147310966311905 1.1573746317584697 1.0029669573992963 0.852189924249432 0.7044442336267809 0.5608746691515911 0.42287190585977347 0.29358509103354113 0.17631654135521724 0.0800421072735813 0.019566932114783997 
0.275 1.073946696759112 1.8888734144383073 2.3554098893384587 2.536877250351857 2.565050769882047 2.5101670463258063 2.410088456784649 2.285046417351053 2.1468090787655414 2.0022487670876083 1.854542442481065 1.706477122211636 1.557903340782065 1.4102488590078317 1.2620699705587441 1.1142738715041092 0.9653695567546874 0.81614910532198 0.6662028516835261 0.5171717004561457 0.3719387277175537 0.23422600350160305 0.11270236483106738 0.029129872064365125 
0.285 0.6107989664247732 1.2981741355578658 1.8219466595036256 2.1139004905822394 2.2451131724750093 2.2781412089699837 2.2494073935221968 2.1829656325252635 2.092724592236741 1.987494305117909 1.8729870630905376 1.751773135895475 1.6265286731226574 1.4969217763132725 1.3643786855327924 1.2272522343714232 1.0862821483668375 0.9397044341349959 0.7881508836168603 0.6310828889203981 0.4713311973377262 0.312447278620278 0.16124992020398743 0.04517918293756862 
0.29500000000000004 0.33237681913002054 0.8500010693661859 1.3533978401367504 1.7053255361082473 1.9137730497126915 2.0203600957074053 2.058131740589052 2.048579156693966 2.00734230093802 1.944143911556384 1.8654716018320334 1.7758959501115408 1.6772298666326222 1.5717692941482984 1.4586985957273493 1.3390980387234348 1.210747661867811 1.0738008273310273 0.9258036705337034 0.7665453672817917 0.5955951977590553 0.41674581401782984 0.23293339329018142 0.07267230408675163 
