grid rho0 rho1
0.0 1.980200041660042e-9 1.1033507877757066e-38 
0.01 1.728544015149496e-8 8.887586396674109e-37 
0.02 1.3501961888675042e-7 6.406179734571818e-35 
0.03 9.43753054780254e-7 4.1319918907007716e-33 
0.04 5.902893130126897e-6 2.3848708174033664e-31 
0.049999999999999996 3.303821143897759e-5 1.2317294228975943e-29 
0.06 0.0001654676860161922 5.692602113564216e-28 
0.06999999999999999 0.0007415747199129006 2.3542436150103764e-26 
0.08 0.002974005017036853 8.712384432266436e-25 
0.09 0.010672681147270734 2.885145481123738e-23 
0.09999999999999999 0.034272866584700835 8.549554029673679e-22 
0.10999999999999999 0.09848552026659371 2.2670665183388322e-20 
0.12 0.25324413386552047 5.379353968604768e-19 
0.13 0.5827086465345983 1.1421970635187603e-17 
0.13999999999999999 1.1997992558645187 2.1701862813245935e-16 
0.15 2.2106030843125923 3.689759383252493e-15 
0.16 3.644668326181482 5.613634537263174e-14 
0.16999999999999998 5.37712721160776 7.642497101185326e-13 
0.18 7.09884456725744 9.310467477988436e-12 
0.18999999999999997 8.386293948844296 1.0149689342627217e-10 
0.19999999999999998 8.865384009038193 9.901000208168988e-10 
0.21 8.386293948844301 8.642720075632902e-9 
0.21999999999999997 7.098844567257448 6.750980944248024e-8 
0.22999999999999998 5.37712721160777 4.7187652738387296e-7 
0.24 3.644668326181487 2.951446565024326e-6 
0.25 2.2106030843125963 1.6519105719269916e-5 
0.26 1.199799255864521 8.273384300699988e-5 
0.26999999999999996 0.5827086465346009 0.0003707873599515341 
0.27999999999999997 0.2532441338655218 0.0014870025084987156 
0.29 0.09848552026659424 0.005336340573564642 
0.3 0.03427286658470102 0.01713643329212333 
0.31 0.010672681147270761 0.0492427601326444 
0.32 0.0029740050170368577 0.1266220669310825 
0.32999999999999996 0.0007415747199129059 0.2913543232634374 
0.33999999999999997 0.0001654676860161937 0.5998996279243101 
0.35 3.303821143897788e-5 1.1053015421416568 
0.36 5.902893130126928e-6 1.8223341630667051 
0.37 9.437530547802606e-7 2.6885636057697857 
0.37999999999999995 1.3501961888675235e-7 3.5494222836003066 
0.38999999999999996 1.7285440151495205e-8 4.193146974569582 
0.39999999999999997 1.980200041660077e-9 4.432692006440563 
0.41 2.0299378685523764e-10 4.193146991652033 
0.42 1.86209349562238e-11 3.5494224186013135 
0.43 1.5284994202573449e-12 2.688564549521317 
0.43999999999999995 1.1227269074675348e-13 1.8223400659597317 
0.44999999999999996 7.37951876660288e-15 1.1053345803530947 
0.45999999999999996 4.340372562712451e-16 0.6000650956103281 
0.47 2.2843941294220813e-17 0.2920958979833431 
0.48 1.0758716649736672e-18 0.1295960719480806 
0.49 4.5370181822189684e-20 0.05991544127977401 
0.5 2.564866208936112e-21 0.051409299876370364 
0.51 2.2728368093311946e-20 0.10382186083885399 
0.52 5.379371393444909e-19 0.254731136370665 
0.53 1.1421970682423814e-17 0.5830794338868316 
0.5399999999999999 2.1701862813646565e-16 1.1998819896916262 
0.55 3.689759383301407e-15 2.210619603389031 
0.5599999999999999 5.613634537337435e-14 3.644671277579751 
0.5700000000000001 7.642497101286724e-13 5.377127683413061 
0.58 9.310467478111667e-12 7.098844634673189 
0.59 1.0149689342761594e-10 8.386293957375901 
0.6 9.901000208300104e-10 8.865384009910827 
0.61 8.642720075747387e-9 8.386293948834677 
0.62 6.750980944337473e-8 7.098844567172691 
0.63 4.718765273901253e-7 5.377127211537278 
0.64 2.9514465650634327e-6 3.644668326133242 
0.65 1.6519105719488796e-5 2.210603084283303 
0.6599999999999999 8.273384300809464e-5 1.1997992558486281 
0.67 0.0003707873599564503 0.5827086465268748 
0.6799999999999999 0.001487002508518408 0.2532441338621663 
0.6900000000000001 0.005336340573635381 0.09848552026528816 
0.7 0.017136433292350296 0.03427286658424691 
0.71 0.04924276013329656 0.010672681147129348 
0.72 0.1266220669327596 0.0029740050169974525 
0.73 0.2913543232672978 0.0007415747199030748 
0.74 0.5998996279322582 0.00016546768601399976 
0.75 1.1053015421562946 3.303821143853983e-5 
0.7599999999999999 1.8223341630907295 5.902893130048778e-6 
0.77 2.68856360580388 9.437530547677459e-7 
0.7799999999999999 3.5494222836287106 1.3501961888496334e-7 
0.79 4.19314697442215 1.728544015126574e-8 
0.7999999999999999 4.4326920045190965 1.9802000416338397e-9 
0.81 4.19314697442215 2.029937868525422e-10 
0.82 3.549422283628729 1.8620934955977073e-11 
0.83 2.6885636058038904 1.5284994202370923e-12 
0.84 1.8223341630907477 1.1227269074526427e-13 
0.85 1.1053015421563013 7.379518766504986e-15 
0.86 0.5998996279322626 4.340372562649187e-16 
0.87 0.29135432326730043 2.2843941270375206e-17 
0.8799999999999999 0.12662206693276207 1.0758707937209917e-18 
0.89 0.04924276013329712 4.5341330366776645e-20 
0.8999999999999999 0.01713643329235071 1.7099108059347963e-21 
0.91 0.005336340573635381 5.770290962247476e-23 
0.9199999999999999 0.0014870025085184514 1.7424768864533242e-24 
0.93 0.0003707873599564503 4.7084872300206524e-26 
0.94 8.273384300809758e-5 1.1385204227128756e-27 
0.95 1.6519105719489087e-5 2.4634588457952587e-29 
0.96 2.9514465650634958e-6 4.769741634806801e-31 
0.97 4.718765273901353e-7 8.263983781401543e-33 
0.98 6.750980944337618e-8 1.2812359469143636e-34 
0.99 8.642720075747602e-9 1.7775172793348218e-36 
