grid rho1 rho2 rho3 rho4 rho5 rho6 rho7 rho8 rho9 rho10 rho11 rho12 rho13 rho14 rho15 rho16 rho17 rho18 rho19 rho20 rho21 rho22 rho23 rho24 
0.11499999999999999 0.08994910069426566 0.07448014404449632 0.06251641201538335 0.053839635530996334 0.04773916941593066 0.04389224736045809 0.041849088028495005 0.0408228572471794 0.03958980043156468 0.03742508131524252 0.03407912434354324 0.02899026917927653 0.0227782222628356 0.017208336075967383 0.0129533045115514 0.009608734707986823 0.0071079359994718 0.00545250915127294 0.0035726253977673775 0.0012568589029496313 6.037848614449948e-5 -3.462761857947472e-5 -6.059985847850502e-6 2.8305729830174764e-5 
0.125 0.22479003034600623 0.1733526663251942 0.13132936882714624 0.09708523391953512 0.06975023330705256 0.04795561358269386 0.030713915412590442 0.01750032658582156 0.008402762536271688 0.0031379989726134164 0.0011328510110637877 0.002092581190179209 0.004532557169343015 0.006198778588099776 0.006393476975546236 0.005805804227436689 0.004734963810852123 0.0033963156791943713 0.002954840113037621 0.0033045060000728987 0.0027214805315679824 0.001442274407761554 0.0006299674370706387 0.00021535759286012146 
0.135 0.5298849006610827 0.4297791779208745 0.3424759514764879 0.26830180830071093 0.20600527035476737 0.15515152133303622 0.11449343266456795 0.08252410122130874 0.05738695784256883 0.03789115542055473 0.023178119421357352 0.012195388942731582 0.004912764557656133 0.001552409019393939 0.0009064282868517272 0.0011901146221381283 0.001712646551916934 0.0020970054940054605 0.0014446226007438015 0.0004707959150558952 0.0006375204944591983 0.0010682104260428121 0.0007606589774555861 0.00024581070748042055 
0.145 1.0799827542651321 0.8652534346544352 0.6911415233387318 0.5473901750192287 0.4290709692697622 0.3310258125389268 0.250673826339268 0.18582490825869188 0.13482272920684438 0.09545570960856598 0.06553861156548195 0.04334946018390755 0.026880547987821052 0.014793100392534661 0.006927904861213276 0.00285104843823214 0.0010554609680409749 0.0004937288155006797 0.0009353267491789274 0.0011109656917387273 0.00035092578933582086 -2.260098067620453e-5 0.0002273675420050303 0.00020583463333986862 
0.155 2.0011181702148226 1.6093444212960957 1.279174008201009 1.0088390896257966 0.788206304523865 0.6106537448832711 0.46744100801629296 0.3523610773439152 0.26026140081874677 0.18775219006184743 0.13194847431453874 0.08998451676344946 0.059404720215193614 0.03752648763349978 0.02188782210750988 0.01125233908715502 0.005092230959822565 0.002023166794470725 0.000550478166345264 0.0004019322724110527 0.000724421432694855 0.0004354073277746534 0.00011733340461589359 7.340620388207597e-5 
0.165 3.301903495730836 2.6794037570936657 2.1568961230755224 1.714370857126828 1.347492550127035 1.0451356326950378 0.8012795527995159 0.6064543891014123 0.4523973543303904 0.33120292045398936 0.23675444119366937 0.16447039508826622 0.11048538422347623 0.07155942953157032 0.044417211514487936 0.025795826700890975 0.013342516052969149 0.005998849395971381 0.0023747725845268616 0.000641911990375936 0.00020285209099100976 0.00038991856901662847 0.00026675211783205866 7.599738129013267e-5 
0.175 4.910347121844143 4.029686145611141 3.2769069024539452 2.6440918783421012 2.106799649813492 1.6583658652692135 1.2849390177673412 0.9803043795825441 0.7357157272421511 0.5428302212098767 0.39274330162858867 0.2772773071826643 0.18983438715042728 0.12516500125579763 0.0790598987349375 0.04756544809972332 0.026791661491115844 0.013430461235081938 0.005729338430822059 0.0021211789564533692 0.0005428026672919112 0.00010943374496273639 0.00020935415226686072 0.0001268592500651422 
0.185 6.53171541477701 5.478272437867368 4.5436959119368705 3.721013337020187 3.0180355391668248 2.4144417140846914 1.9065125574717827 1.479991866243826 1.1279521048335028 0.8424897941820867 0.616065611633417 0.44028120059844134 0.30629377260834423 0.20601619551870523 0.13280006071699985 0.0813705277726123 0.046994099532609614 0.02520388671002835 0.011908341548654694 0.004633254286066403 0.001511586926312286 0.00035242943175646524 7.413891050522814e-5 8.886108202391108e-5 
0.19499999999999998 7.825905808414254 6.725430642057933 5.720232309223676 4.80940541245099 3.981191034799142 3.2559470832487483 2.6205483550638298 2.0778894657391427 1.617627144558253 1.233505268371716 0.9187872423473366 0.6670232338023633 0.47098477903426206 0.3222979949683619 0.21224445753149027 0.1330994160109767 0.07858639395988244 0.04312068000781842 0.021597725026727306 0.009307834995907725 0.003144019055612013 0.0008368534657299254 0.000179701717507863 3.6189184546980835e-5 
0.205 8.40431162245439 7.496390734555618 6.5745641732269045 5.684061204884242 4.85294769525339 4.069257148246847 3.3629063206783814 2.7280793530144543 2.1743332851476103 1.6980738369962076 1.2958233195981759 0.962874260856628 0.6942607131541474 0.4841541246013845 0.32522342142288446 0.20882621025002057 0.1265681884796463 0.07131245307883308 0.036644534670578384 0.01673324781858339 0.006304887306717022 0.0017248544298416324 0.0003475414501706575 7.150061426194898e-5 
